ID_Transacao,Data,Valor_Compra,Industria,Tipo_Compra,Qtd_Parcelas,Wallet,Cliente_ID,ID_Cartao,Input_Mode,Input_Mode_Code,Crossborder,Contactless,Autorizado
18,2023-04-09 15:50:27,239.9,Varejo,CNP,,,1728,14178682,Recurring,36,0.0,,Sim
19,2025-02-13 14:16:50,465.07,Varejo,CP,,,7080,51737308,Swiped,59,,,Sim
20,2023-05-17 03:27:18,914.95,Alimentação,CP,,,3213,45848066,Swiped,59,,1.0,Sim
21,2023-11-28 21:22:33,496.24,Varejo,CP,4.0,,6677,65472462,Chip,54,,,Sim
22,2025-03-07 14:21:41,488.42,Alimentação,CNP,,,7474,28269540,Mail Order,32,,,Sim
23,2025-03-14 22:03:45,521.15,Alimentação,CP,,Samsung Pay,4409,43574226,PayPass,51,,,Sim
24,2025-02-11 06:00:48,485.09,Varejo,CP,,,8661,59445733,Swiped,59,,0.0,Sim
25,2023-06-19 17:14:49,1155.82,Varejo,CP,8.0,,3506,80829423,Swiped,59,,1.0,Sim
26,2025-04-07 15:46:54,165.87,Tecnologia,CNP,,,4291,84224141,MasterPass,39,,,Sim
27,2023-09-27 20:00:33,324.05,Alimentação,CNP,,,3321,96974017,Recurring,36,,,Sim
28,2023-04-24 03:52:31,34.35,Alimentação,CP,,Samsung Pay,6051,29894095,Swiped,59,,,Sim
29,2023-06-18 23:04:32,217.51,Educação,CP,8.0,,8383,23052099,Swiped,59,,0.0,Sim
30,2025-01-29 16:22:24,966.7,Varejo,CNP,,,6513,91784421,Phone Order,35,,,Sim
31,2025-04-07 09:11:36,979.81,Alimentação,CP,,,7379,10331796,Swiped,59,,1.0,Sim
32,2025-01-22 01:23:17,848.98,Varejo,CP,,Apple Pay,8408,44523666,Chip,54,,,Sim
33,2025-02-18 06:39:52,34.63,Tecnologia,CP,,,5861,58094600,Swiped,59,,,Sim
34,2023-05-24 22:36:30,723.07,Entretenimento,CP,11.0,,9657,35597642,Swiped,59,,,Sim
35,2025-09-09 00:08:03,475.85,Alimentação,CP,,,9502,48815486,Swiped,59,,,Sim
36,2025-04-12 21:04:57,1145.72,Alimentação,CNP,,,1519,34923446,Phone Order,35,,,Sim
37,2025-05-07 11:23:44,367.06,Alimentação,CNP,,,1248,26833804,Phone Order,35,,,Sim
38,2023-05-08 10:51:35,1105.6,Varejo,CNP,,,3593,44154544,eCommerce,38,,,Sim
39,2023-11-28 12:06:23,536.37,Tecnologia,CP,,,6030,58451006,PayPass,51,,,Sim
40,2025-02-16 21:20:15,402.54,Alimentação,CP,11.0,,9259,59859685,Swiped,59,,,Sim
41,2023-03-22 11:08:49,528.03,Varejo,CP,,Apple Pay,7724,51683126,PayPass,51,,,Sim
42,2025-03-24 22:24:06,248.1,Alimentação,CP,,,7420,85992827,Swiped,59,,,Sim
43,2023-11-25 10:49:48,1117.25,Alimentação,CP,,Apple Pay,1407,33577314,PayPass,51,,,Sim
44,2023-06-22 14:21:34,685.04,Varejo,CP,5.0,,8313,19012386,PayPass,51,,,Sim
45,2025-04-29 15:50:19,1179.0,Tecnologia,CP,10.0,,4828,49264947,Chip,54,,,Sim
46,2025-02-14 20:04:34,1110.84,Varejo,CP,3.0,,1323,90983788,Swiped,59,,,Sim
47,2025-10-30 05:50:05,1163.31,Alimentação,CP,3.0,,1480,91754025,Swiped,59,,1.0,Sim
48,2023-12-28 04:35:49,841.64,Tecnologia,CP,2.0,,1475,23269369,PayPass,51,,,Sim
49,2025-05-25 00:42:08,1139.71,Alimentação,CNP,,,7027,68109886,Mail Order,32,,,Sim
50,2023-06-24 00:13:58,662.08,Alimentação,CP,,Apple Pay,2808,54159120,Swiped,59,,,Sim
51,2023-12-14 02:11:57,993.68,Saúde,CP,,Google Pay,9303,25120330,Chip,54,,,Sim
52,2023-04-27 16:37:19,958.64,Varejo,CP,,,2217,71359823,Chip,54,,,Sim
53,2025-06-15 02:46:25,572.36,Varejo,CP,,,9259,64783841,Chip,54,,,Sim
54,2023-10-23 01:08:39,488.59,Varejo,CP,,,3043,93082945,PayPass,51,,,Sim
55,2023-08-07 07:35:08,950.53,Tecnologia,CNP,,,3998,82335844,eCommerce,38,,,Sim
56,2023-04-07 21:57:47,1065.1,Alimentação,CP,1.0,,6998,44545614,Chip,54,,,Sim
57,2023-05-18 17:53:53,227.85,Varejo,CP,11.0,,1770,82486112,Chip,54,,,Sim
58,2023-03-13 17:18:26,484.72,Tecnologia,CNP,,,8151,19152184,eCommerce,38,,,Sim
59,2025-06-17 14:48:33,1146.51,Entretenimento,CP,9.0,,3911,26731766,Swiped,59,,1.0,Sim
60,2025-01-15 21:29:30,206.39,Varejo,CP,4.0,,2105,35326182,Chip,54,,0.0,Sim
61,2025-06-04 07:59:09,471.49,Varejo,CP,,Samsung Pay,5947,94888438,Chip,54,,,Sim
62,2025-01-16 17:00:14,187.7,Entretenimento,CNP,,,2295,11183938,MasterPass,39,1.0,,Sim
63,2023-05-29 19:30:41,197.13,Alimentação,CNP,,,3553,41146261,MasterPass,39,,,Sim
64,2025-11-05 03:30:12,575.19,Tecnologia,CNP,,,9471,17477467,Recurring,36,,,Sim
65,2025-07-17 03:25:38,93.5,Alimentação,CP,,,5267,59846813,PayPass,51,,,Sim
66,2025-06-07 11:45:13,282.5,Saúde,CP,,,1664,54655573,PayPass,51,,,Sim
67,2025-08-28 01:09:52,189.58,Tecnologia,CP,2.0,,7607,19592556,PayPass,51,,,Sim
68,2025-11-10 11:03:43,936.88,Alimentação,CNP,,,2685,70403022,MasterPass,39,,,Sim
69,2023-01-30 00:07:55,95.07,Educação,CP,5.0,,2630,32253137,PayPass,51,,,Sim
70,2023-08-02 06:02:18,813.56,Tecnologia,CP,,,5737,59184866,Swiped,59,,,Sim
71,2023-02-03 17:00:46,458.24,Tecnologia,CP,8.0,,9635,40066754,Chip,54,,,Sim
72,2025-09-17 11:02:21,1167.2,Alimentação,CNP,,,1560,41158009,MasterPass,39,,,Sim
73,2023-04-05 18:10:38,869.05,Alimentação,CP,,,6149,12887324,Swiped,59,,0.0,Sim
74,2025-08-14 20:17:35,119.19,Tecnologia,CNP,,,7265,22386052,eCommerce,38,,,Sim
75,2025-07-18 04:20:56,445.35,Varejo,CNP,,,9312,61104954,eCommerce,38,,,Sim
76,2025-01-20 01:10:47,534.28,Tecnologia,CP,7.0,Apple Pay,3002,81343560,PayPass,51,,,Sim
77,2025-03-24 01:21:59,518.19,Varejo,CP,,Google Pay,4957,59682048,Swiped,59,,,Sim
78,2023-06-26 01:10:57,624.32,Varejo,CP,6.0,,9551,32290287,Swiped,59,,,Sim
79,2025-10-25 11:09:26,682.38,Alimentação,CP,,Google Pay,2469,23851608,Chip,54,,,Sim
80,2025-05-22 09:25:36,569.05,Tecnologia,CNP,,,3769,58925405,Recurring,36,,,Sim
81,2025-05-15 08:38:05,867.99,Varejo,CP,,Samsung Pay,8181,77351332,PayPass,51,,,Sim
82,2023-02-14 22:37:36,370.95,Varejo,CP,,,1689,97996255,PayPass,51,,0.0,Sim
83,2023-03-24 13:44:37,350.1,Tecnologia,CP,,,6886,22652601,Swiped,59,,0.0,Sim
84,2025-09-29 10:16:14,89.51,Tecnologia,CNP,,,1422,32535080,MasterPass,39,,,Sim
85,2023-04-02 17:09:52,900.15,Saúde,CP,,,5947,94888438,PayPass,51,,,Sim
86,2023-06-05 15:24:15,916.17,Tecnologia,CNP,,,5913,38636751,MasterPass,39,1.0,,Sim
87,2025-05-10 12:29:34,668.58,Alimentação,CNP,,,8299,18432380,Phone Order,35,1.0,,Sim
88,2025-02-15 00:22:47,1051.54,Varejo,CP,,,2061,35372745,Chip,54,,,Sim
89,2025-04-04 13:53:15,808.17,Tecnologia,CP,2.0,,1035,11601260,Swiped,59,,,Sim
90,2025-07-28 05:15:22,689.48,Varejo,CP,11.0,,7763,64914792,Swiped,59,,,Sim
91,2023-10-24 18:26:04,897.51,Varejo,CP,,,5174,84051135,Chip,54,,0.0,Sim
92,2025-05-07 16:46:58,102.83,Educação,CNP,,,8982,36700168,MasterPass,39,,,Sim
93,2023-03-14 20:51:19,26.59,Varejo,CP,5.0,,6719,87911601,PayPass,51,,,Sim
94,2025-06-01 00:17:15,920.77,Varejo,CP,,Samsung Pay,9854,46728656,PayPass,51,,,Sim
95,2023-07-16 00:06:01,778.38,Educação,CP,6.0,,1649,20727721,Swiped,59,,,Sim
96,2025-12-17 20:38:53,326.28,Varejo,CP,1.0,,2001,31339304,Swiped,59,,,Sim
97,2025-03-06 00:10:13,28.18,Saúde,CP,,Apple Pay,4364,65056153,Chip,54,,1.0,Sim
98,2025-11-17 11:02:17,238.97,Alimentação,CP,,,3195,62801967,PayPass,51,,0.0,Sim
99,2023-02-22 14:22:15,550.74,Alimentação,CP,6.0,,6605,95009952,PayPass,51,,,Sim
100,2025-04-22 19:18:48,795.63,Varejo,CP,9.0,,1245,13708761,PayPass,51,,1.0,Sim
101,2025-05-05 16:19:44,129.13,Saúde,CNP,,,8691,38251164,Mail Order,32,,,Sim
102,2025-01-20 19:43:22,653.36,Saúde,CNP,,,9415,59769802,eCommerce,38,,,Sim
103,2025-05-27 16:30:09,749.08,Tecnologia,CNP,,,3191,23558194,Mail Order,32,,,Sim
104,2025-05-23 06:55:26,903.96,Educação,CP,1.0,,8737,85897959,Chip,54,,,Sim
105,2023-07-15 05:32:46,603.98,Entretenimento,CNP,,,4991,59327490,eCommerce,38,,,Sim
106,2025-10-03 15:48:21,415.1,Educação,CNP,,,4810,66976729,eCommerce,38,0.0,,Sim
107,2023-05-28 08:57:00,886.66,Tecnologia,CNP,,,7055,32531137,MasterPass,39,,,Sim
108,2025-06-23 23:47:03,945.61,Entretenimento,CP,9.0,,8954,72585616,Chip,54,,,Sim
109,2023-08-04 16:05:52,69.42,Varejo,CP,,,3488,64500638,Chip,54,,,Sim
110,2025-04-06 06:30:45,611.9,Alimentação,CNP,,,2238,17235590,Mail Order,32,,,Sim
111,2023-10-26 09:10:48,819.37,Varejo,CNP,,,8408,44523666,Mail Order,32,,,Sim
112,2025-08-25 11:09:10,43.54,Varejo,CP,6.0,Google Pay,8812,78091282,Swiped,59,,,Sim
113,2025-10-01 06:09:27,1167.96,Varejo,CP,,,6439,93649761,Chip,54,,,Sim
114,2025-02-13 15:06:48,436.39,Entretenimento,CP,9.0,Samsung Pay,3604,84494283,Swiped,59,,,Sim
115,2025-06-28 10:20:07,478.18,Alimentação,CP,,Google Pay,6152,33342335,Swiped,59,,,Sim
116,2025-12-27 15:44:45,1050.98,Tecnologia,CNP,,,1624,54294951,Mail Order,32,,,Sim
117,2023-08-30 18:03:29,31.13,Alimentação,CP,,,9696,60563393,Chip,54,,,Sim
118,2023-04-04 03:00:57,338.56,Varejo,CNP,,,6097,20129279,MasterPass,39,,,Sim
119,2025-10-25 09:11:03,141.01,Alimentação,CNP,,,1589,13336137,MasterPass,39,,,Sim
120,2023-06-08 17:28:59,1125.89,Varejo,CNP,,,3082,18384908,eCommerce,38,0.0,,Sim
121,2023-04-07 23:22:22,1174.39,Alimentação,CNP,,,6719,87911601,eCommerce,38,,,Sim
122,2023-02-20 03:12:52,1059.07,Saúde,CNP,,,7344,15511070,eCommerce,38,,,Sim
123,2023-10-20 20:12:38,810.39,Tecnologia,CNP,,,8691,38251164,eCommerce,38,,,Sim
124,2023-03-09 14:08:46,371.99,Alimentação,CP,6.0,Google Pay,2630,58071932,Swiped,59,,,Sim
125,2025-12-02 08:16:45,472.9,Alimentação,CP,11.0,,5583,21693094,Chip,54,,,Sim
126,2025-03-02 15:55:27,811.56,Tecnologia,CNP,,,5043,69447109,Phone Order,35,,,Sim
127,2025-04-09 04:19:41,1151.38,Alimentação,CP,8.0,,7383,61874263,PayPass,51,,,Sim
128,2023-02-23 14:46:20,489.03,Varejo,CP,,,4852,38271227,Chip,54,,0.0,Sim
129,2025-07-21 22:01:26,950.27,Educação,CNP,,,7565,79233124,Mail Order,32,,,Sim
130,2023-06-07 15:28:03,824.47,Varejo,CNP,,,8299,18432380,Recurring,36,,,Sim
131,2023-03-25 00:07:34,476.39,Tecnologia,CP,,,3019,43768258,PayPass,51,,,Sim
132,2025-01-21 21:17:37,137.38,Entretenimento,CP,2.0,,6182,65721055,Swiped,59,,,Sim
133,2023-04-29 20:19:54,40.51,Saúde,CP,,,4801,61944756,Chip,54,,1.0,Sim
134,2025-07-10 15:49:43,709.76,Varejo,CNP,,,4469,23382949,Mail Order,32,,,Sim
135,2025-10-13 18:14:25,29.52,Saúde,CP,,,8322,79822909,PayPass,51,,,Sim
136,2025-08-14 12:27:23,1104.78,Varejo,CP,,,9002,86037525,Chip,54,,,Sim
137,2023-09-14 14:18:52,1051.95,Tecnologia,CNP,,,9223,54358630,MasterPass,39,,,Sim
138,2025-09-13 22:06:17,1179.08,Tecnologia,CP,10.0,,9494,80198147,Swiped,59,,,Sim
139,2025-05-20 10:30:35,584.68,Alimentação,CNP,,,2035,14426292,Phone Order,35,,,Sim
140,2023-10-13 08:10:52,557.84,Tecnologia,CP,,,8564,76273510,Swiped,59,,0.0,Sim
141,2023-12-04 21:59:26,459.11,Alimentação,CP,,,7657,21900506,PayPass,51,,,Sim
142,2023-06-22 13:36:01,435.6,Alimentação,CP,,Samsung Pay,9961,86993504,PayPass,51,,,Sim
143,2025-12-02 16:04:18,479.68,Saúde,CP,,,3650,69065038,Swiped,59,,1.0,Não
144,2025-05-07 17:42:51,87.69,Alimentação,CP,6.0,,5050,98980541,Swiped,59,,,Sim
145,2025-04-08 05:24:37,1120.53,Varejo,CP,12.0,,3699,93370639,Chip,54,,,Sim
146,2025-05-05 03:20:04,61.46,Tecnologia,CNP,,,6018,11407896,Mail Order,32,,,Sim
147,2025-06-07 15:20:55,825.51,Varejo,CP,,,5061,93324386,Swiped,59,,,Sim
148,2025-03-19 09:29:16,212.74,Alimentação,CP,10.0,,3678,70393567,Chip,54,,,Sim
149,2023-01-08 03:33:05,22.43,Varejo,CNP,,,9353,62923758,MasterPass,39,1.0,,Sim
150,2025-12-14 09:18:56,1015.41,Tecnologia,CNP,,,3613,47236238,MasterPass,39,,,Sim
151,2025-04-01 00:49:28,841.79,Varejo,CP,6.0,,1138,28181268,PayPass,51,,,Sim
152,2025-03-09 16:56:25,523.85,Varejo,CP,,,3177,52716768,Chip,54,,,Sim
153,2025-07-30 23:52:59,263.04,Varejo,CNP,,,3578,11064389,Phone Order,35,,,Sim
154,2023-06-08 09:09:44,1095.12,Tecnologia,CP,3.0,,6189,76816517,PayPass,51,,1.0,Sim
155,2025-03-06 11:07:49,540.95,Entretenimento,CP,,,1803,34678407,Swiped,59,,,Sim
156,2025-02-06 16:20:03,95.05,Varejo,CNP,,,6830,21728187,Recurring,36,,,Sim
157,2025-06-06 00:32:28,433.34,Tecnologia,CNP,,,9953,69130728,Mail Order,32,,,Sim
158,2025-03-23 21:48:52,686.0,Alimentação,CNP,,,2899,43115335,MasterPass,39,,,Sim
159,2025-09-15 17:09:38,145.42,Alimentação,CP,5.0,,8259,33917691,PayPass,51,,,Sim
160,2025-02-02 09:38:36,477.75,Varejo,CNP,,,9907,48607717,Mail Order,32,,,Sim
161,2025-01-01 12:37:17,528.5,Alimentação,CNP,,,2854,82749819,Recurring,36,,,Sim
162,2025-08-13 13:06:16,1183.21,Tecnologia,CP,,,7297,62236083,Swiped,59,,1.0,Sim
163,2025-07-18 22:47:50,891.85,Tecnologia,CP,,,2931,34872002,Swiped,59,,,Sim
164,2025-06-05 15:13:42,582.29,Entretenimento,CP,7.0,,3251,68750966,Chip,54,,,Sim
165,2025-05-03 12:21:21,717.5,Varejo,CNP,,,7198,21915349,Mail Order,32,,,Sim
166,2025-06-18 14:19:45,489.6,Alimentação,CP,8.0,Samsung Pay,3305,84983428,PayPass,51,,,Sim
167,2025-05-16 11:41:09,672.66,Varejo,CP,,Samsung Pay,6344,78494919,PayPass,51,,,Sim
168,2025-10-13 04:01:05,359.8,Varejo,CNP,,,2774,82096053,eCommerce,38,1.0,,Sim
169,2025-01-08 23:17:11,60.37,Varejo,CP,,Google Pay,8982,24399989,Swiped,59,,,Sim
170,2025-05-15 11:10:00,574.91,Alimentação,CP,,,6546,34281868,Chip,54,,0.0,Sim
171,2025-03-11 17:48:59,708.02,Varejo,CP,,,1184,90758072,Swiped,59,,,Sim
172,2025-07-05 18:24:28,501.65,Varejo,CP,7.0,,1003,24368015,PayPass,51,,,Sim
173,2023-10-25 11:07:28,877.99,Alimentação,CP,1.0,Google Pay,8681,46401107,Chip,54,,,Sim
174,2025-06-13 07:24:58,1126.67,Varejo,CP,,,9590,16295089,Chip,54,,1.0,Sim
175,2025-05-24 22:22:06,1015.29,Tecnologia,CP,,Google Pay,3868,88572129,PayPass,51,,,Sim
176,2025-03-11 01:22:23,384.06,Tecnologia,CP,,,4182,63675158,PayPass,51,,,Sim
177,2025-02-02 14:30:52,1037.04,Alimentação,CP,,,4928,96313857,Chip,54,,,Sim
178,2023-08-18 21:40:14,635.68,Varejo,CP,9.0,,7055,32531137,Swiped,59,,,Sim
179,2025-09-20 13:53:50,742.59,Tecnologia,CP,6.0,,4294,27334277,PayPass,51,,,Sim
180,2023-12-12 00:15:13,1065.9,Varejo,CP,,,1596,85422748,Swiped,59,,,Sim
181,2023-09-18 02:09:32,836.17,Alimentação,CNP,,,3564,22386160,eCommerce,38,,,Sim
182,2025-01-03 23:16:59,7.09,Varejo,CP,,Samsung Pay,3605,92950743,Chip,54,,,Sim
183,2025-10-18 12:54:23,1015.49,Varejo,CNP,,,5957,66863583,Phone Order,35,,,Sim
184,2023-01-23 00:54:10,170.28,Alimentação,CNP,,,9953,69130728,Mail Order,32,,,Sim
185,2025-02-02 15:20:59,501.86,Varejo,CNP,,,8293,19807588,eCommerce,38,0.0,,Sim
186,2025-04-16 19:55:50,1090.87,Entretenimento,CP,,,3723,38710022,Chip,54,,,Sim
187,2023-12-08 11:39:58,481.74,Entretenimento,CP,,,9604,10648938,PayPass,51,,,Sim
188,2023-02-18 19:15:48,164.7,Tecnologia,CP,,,4150,57960751,Chip,54,,,Sim
189,2025-08-01 11:57:59,301.89,Varejo,CP,,Apple Pay,9074,19524745,Swiped,59,,1.0,Sim
190,2025-03-25 23:31:25,590.23,Varejo,CP,11.0,,9454,27295669,Swiped,59,,,Sim
191,2023-11-08 02:26:53,346.17,Varejo,CP,,Google Pay,3370,10014118,PayPass,51,,,Sim
192,2025-07-23 02:04:48,19.68,Educação,CNP,,,4716,56491773,Phone Order,35,,,Sim
193,2023-10-04 11:48:57,997.46,Saúde,CP,,,1480,91754025,PayPass,51,,,Sim
194,2025-01-09 20:14:18,62.36,Varejo,CNP,,,7730,14485789,MasterPass,39,,,Sim
195,2023-08-18 04:05:10,1143.21,Saúde,CP,,Google Pay,4297,91714136,Swiped,59,,,Sim
196,2025-01-13 04:00:21,899.24,Varejo,CNP,,,9526,14953759,eCommerce,38,,,Sim
197,2023-11-05 12:25:12,450.83,Educação,CP,,,2308,31878285,PayPass,51,,,Sim
198,2025-02-03 06:03:18,790.8,Varejo,CNP,,,7062,93507215,Recurring,36,,,Sim
199,2025-03-24 15:54:57,852.64,Alimentação,CP,,,6789,87188924,Swiped,59,,,Sim
200,2025-01-21 07:27:12,780.14,Saúde,CNP,,,4294,27334277,eCommerce,38,,,Sim
201,2025-06-11 03:29:50,193.42,Entretenimento,CP,,,4828,49264947,PayPass,51,,,Sim
202,2023-02-21 00:48:54,1122.67,Tecnologia,CP,,,5313,86632063,Chip,54,,1.0,Sim
203,2023-02-14 05:17:06,1159.86,Alimentação,CNP,,,6250,40852124,Mail Order,32,,,Sim
204,2025-08-04 05:57:38,85.19,Varejo,CP,,Google Pay,5032,21108325,Chip,54,,,Sim
205,2023-08-14 00:03:20,85.98,Tecnologia,CP,10.0,,7198,21915349,Chip,54,,,Sim
206,2023-02-13 08:29:36,838.96,Varejo,CNP,,,8227,73966685,MasterPass,39,,,Sim
207,2025-08-01 09:22:47,120.64,Tecnologia,CP,,,3836,42376095,Swiped,59,,,Sim
208,2025-09-10 02:45:34,728.1,Entretenimento,CP,11.0,,2184,29197395,Chip,54,,,Sim
209,2023-10-22 03:32:28,93.43,Varejo,CNP,,,1035,11601260,MasterPass,39,,,Sim
210,2023-04-05 04:49:46,521.78,Varejo,CNP,,,1770,82486112,Recurring,36,,,Sim
211,2023-06-03 10:30:02,350.65,Varejo,CNP,,,7138,86745025,Recurring,36,,,Sim
212,2025-07-15 17:00:45,497.13,Alimentação,CP,,,1784,25379736,PayPass,51,,,Sim
213,2025-08-26 15:30:50,1101.01,Alimentação,CNP,,,9785,92092850,MasterPass,39,,,Sim
214,2025-03-05 03:59:17,174.3,Entretenimento,CP,,,2847,40980587,PayPass,51,,,Sim
215,2023-11-27 21:09:11,869.22,Tecnologia,CNP,,,7590,21157643,MasterPass,39,,,Sim
216,2023-05-09 18:13:22,231.17,Varejo,CNP,,,6844,58070859,Mail Order,32,,,Sim
217,2025-04-09 00:26:11,812.62,Alimentação,CP,9.0,,2090,37235164,Chip,54,,,Sim
218,2023-01-17 23:33:37,346.02,Tecnologia,CP,,,1132,43675325,Swiped,59,,1.0,Sim
219,2023-11-18 20:17:41,721.89,Varejo,CNP,,,3801,46255899,eCommerce,38,,,Sim
220,2025-01-07 00:01:18,875.52,Varejo,CNP,,,5911,56977047,Mail Order,32,,,Sim
221,2025-09-14 20:09:37,814.87,Varejo,CP,,,6215,32142392,Chip,54,,,Sim
222,2023-02-02 14:36:06,704.44,Alimentação,CP,,,1275,68154277,PayPass,51,,,Sim
223,2023-04-02 17:46:02,494.89,Alimentação,CNP,,,5198,46660893,MasterPass,39,,,Sim
224,2023-12-18 03:47:06,611.58,Alimentação,CP,,,7069,94513343,PayPass,51,,0.0,Sim
225,2023-04-17 20:54:28,543.68,Varejo,CP,,,8307,91855663,Chip,54,,1.0,Sim
226,2023-07-06 09:58:17,472.28,Educação,CP,9.0,,7344,15511070,PayPass,51,,,Sim
227,2025-05-23 02:35:41,665.34,Varejo,CP,8.0,,1993,94052333,PayPass,51,,,Sim
228,2023-10-28 15:46:01,1000.42,Educação,CP,9.0,,1430,35744628,PayPass,51,,,Sim
229,2025-06-19 03:20:16,1161.51,Educação,CNP,,,9383,15459561,Recurring,36,,,Sim
230,2025-12-11 16:45:20,1056.26,Entretenimento,CNP,,,2358,78253103,Mail Order,32,,,Sim
231,2025-12-07 01:29:38,46.32,Tecnologia,CNP,,,6182,65721055,MasterPass,39,,,Sim
232,2025-03-11 12:00:03,321.05,Varejo,CP,,,1126,61966876,PayPass,51,,,Sim
233,2023-03-25 17:10:02,731.03,Varejo,CP,,,4294,45798586,Swiped,59,,,Sim
234,2023-02-25 04:31:15,789.9,Entretenimento,CNP,,,6984,18994307,Recurring,36,,,Sim
235,2023-02-12 16:34:25,746.34,Entretenimento,CP,2.0,,8430,84840958,Chip,54,,,Sim
236,2023-09-10 14:59:15,421.97,Tecnologia,CP,,Google Pay,3384,64670623,Swiped,59,,,Sim
237,2023-09-24 22:57:16,390.64,Alimentação,CNP,,,9716,91053861,Phone Order,35,,,Sim
238,2023-06-29 17:10:23,1023.43,Varejo,CP,6.0,,4329,69378355,Swiped,59,,,Sim
239,2023-12-03 05:23:54,161.89,Alimentação,CP,,,7198,21915349,Swiped,59,,0.0,Sim
240,2023-01-02 15:55:04,494.51,Varejo,CNP,,,8565,62840782,MasterPass,39,,,Sim
241,2023-11-18 13:07:45,673.47,Varejo,CP,,,3336,56114057,Chip,54,,,Sim
242,2025-04-24 17:02:17,237.08,Varejo,CP,8.0,,6909,49977141,PayPass,51,,0.0,Sim
243,2023-10-02 23:17:10,613.76,Saúde,CNP,,,6097,94591642,eCommerce,38,,,Sim
244,2025-03-19 02:51:51,758.93,Educação,CNP,,,2043,78850837,MasterPass,39,,,Sim
245,2023-09-09 06:25:11,747.04,Saúde,CP,,,7768,24340344,Chip,54,,,Sim
246,2023-07-01 09:49:31,874.96,Varejo,CP,4.0,,2931,34872002,PayPass,51,,,Sim
247,2025-04-17 02:29:36,792.21,Varejo,CP,,Apple Pay,5004,33543352,Swiped,59,,,Sim
248,2023-04-26 23:59:44,938.79,Varejo,CP,,Google Pay,6768,43168524,Chip,54,,,Sim
249,2023-09-15 02:42:16,384.63,Tecnologia,CNP,,,1837,70074986,Recurring,36,0.0,,Sim
250,2025-05-26 03:06:38,1013.69,Tecnologia,CNP,,,8114,63914589,Recurring,36,,,Sim
251,2023-09-28 09:58:57,438.29,Entretenimento,CP,6.0,,8996,84021999,Chip,54,,,Sim
252,2025-02-14 00:54:45,859.96,Tecnologia,CNP,,,2578,76425044,MasterPass,39,,,Sim
253,2025-04-29 16:58:33,682.51,Varejo,CP,,,9053,55240673,PayPass,51,,,Sim
254,2023-04-22 02:12:32,121.6,Tecnologia,CP,,,9587,35803159,PayPass,51,,,Sim
255,2023-08-10 01:32:55,1038.61,Tecnologia,CNP,,,9003,69341015,Recurring,36,,,Sim
256,2025-01-29 05:22:34,66.71,Saúde,CNP,,,6394,26318146,Recurring,36,,,Sim
257,2023-02-24 00:21:46,921.82,Varejo,CNP,,,7380,14881350,Phone Order,35,,,Sim
258,2023-03-09 06:25:35,707.17,Varejo,CP,9.0,Samsung Pay,9563,22776516,Swiped,59,,,Sim
259,2023-01-14 17:43:50,385.58,Varejo,CNP,,,1385,62133455,Mail Order,32,,,Sim
260,2023-02-21 07:01:53,865.97,Alimentação,CP,,,1350,25370389,PayPass,51,,,Sim
261,2025-05-19 03:59:37,308.29,Tecnologia,CP,,,8221,62682539,Chip,54,,,Não
262,2023-10-05 22:03:34,495.56,Tecnologia,CP,3.0,,4763,33479689,Swiped,59,,,Sim
263,2025-11-09 06:04:41,1009.72,Alimentação,CP,,,6048,27005895,PayPass,51,,0.0,Sim
